company_name,cik,has_exhibit21,exhibit21_url,subsidiary_count,reason
Norwegian Cruise Line Holdings Ltd,1513761,True,https://www.sec.gov/Archives/edgar/data/1513761/000155837025001743/nclh-20241231xex21d1.htm,78,Exhibit-21 found
Norwood Financial Corp,1013272,True,https://www.sec.gov/Archives/edgar/data/1013272/000156276225000042/nwfl-20241231xex21.htm,5,Exhibit-21 found
Notable Labs Ltd,1577552,False,,0,No 10-K found
NOV Inc,1021860,True,https://www.sec.gov/Archives/edgar/data/1021860/000095017025021042/nov-ex21_1.htm,93,Exhibit-21 found
Nova Lifestyle Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Novabay Pharmaceuticals Inc,1389545,False,,0,"10-K found, but Exhibit-21 missing"
Novaccess Global Inc,64040,True,https://www.sec.gov/Archives/edgar/data/64040/000006404025000052/ex21tofy2024x202410xksubsi.htm,134,Exhibit-21 found
Novagold Resources Inc,1173420,False,,0,"10-K found, but Exhibit-21 missing"
Novanta Inc,1076930,True,https://www.sec.gov/Archives/edgar/data/1076930/000095017025026131/novt-ex21_1.htm,14,Exhibit-21 found
Novavax Inc,1000694,True,https://www.sec.gov/Archives/edgar/data/1000694/000100069425000004/nvax-20241231xex21.htm,21,Exhibit-21 found
Novo Integrated Sciences Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Novocure Ltd,1645113,True,https://www.sec.gov/Archives/edgar/data/1645113/000164511325000002/ex21202410-ksubsidiarylist.htm,5,Exhibit-21 found
Nowtransit Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
NPK International Inc,71829,False,,0,"10-K found, but Exhibit-21 missing"
NRG Energy Inc,1013871,False,,0,"10-K found, but Exhibit-21 missing"
NRX Pharmaceuticals Inc,1719406,False,,0,"10-K found, but Exhibit-21 missing"
Nstar Electric Co,13372,True,https://www.sec.gov/Archives/edgar/data/13372/000007274125000007/a2024-ex21subsidiariesofth.htm,37,Exhibit-21 found
NSTS Bancorp Inc,1881592,False,,0,"10-K found, but Exhibit-21 missing"
NU SKIN Enterprises Inc,1021561,True,https://www.sec.gov/Archives/edgar/data/1021561/000114036125004907/ef20039018_ex21-1.htm,71,Exhibit-21 found
Nuburu Inc,1814215,False,,0,"10-K found, but Exhibit-21 missing"
Nucor Corp,73309,True,https://www.sec.gov/Archives/edgar/data/73309/000095017025028427/nue-ex21.htm,40,Exhibit-21 found
Nukkleus Inc,1787518,True,https://www.sec.gov/Archives/edgar/data/1787518/000121390025011694/ea022639801ex21-1_nukkleus.htm,8,Exhibit-21 found
Nu-Med Plus Inc,1543637,False,,0,"10-K found, but Exhibit-21 missing"
Nurix Therapeutics Inc,1549595,False,,0,"10-K found, but Exhibit-21 missing"
Nuscale Power Corp,1822966,True,https://www.sec.gov/Archives/edgar/data/1822966/000182296625000024/ex211subsidiaries.htm,1,Exhibit-21 found
Nutanix Inc,1618732,True,https://www.sec.gov/Archives/edgar/data/1618732/000119312525213801/ntnx-ex21_1.htm,1,Exhibit-21 found
Nutex Health Inc,1479681,True,https://www.sec.gov/Archives/edgar/data/1479681/000147968125000006/nutx-20241231xex21d1.htm,43,Exhibit-21 found
Nutra Pharma Corp,1045810,False,,0,"10-K found, but Exhibit-21 missing"
Nutriband Inc,1676047,False,,0,"10-K found, but Exhibit-21 missing"
Nuvalent Inc,1861560,False,,0,"10-K found, but Exhibit-21 missing"
Nuvation Bio Inc,1811063,True,https://www.sec.gov/Archives/edgar/data/1811063/000095017025034903/nuvb-ex21_1.htm,6,Exhibit-21 found
Nuvectis Pharma Inc,1875558,True,https://www.sec.gov/Archives/edgar/data/1875558/000155837025001496/tmb-20241231xex21d1.htm,2,Exhibit-21 found
Nuveen Mortgage & Income Fund,1472215,False,,0,No 10-K found
Nuveen Nasdaq 100 Dynamic Overwrite Fund,1608741,False,,0,No 10-K found
Nuvera Communications Inc,71557,False,,0,"10-K found, but Exhibit-21 missing"
