CONNECTED_ORG_NM,pac_count,active_pac_count,has_any_pac_donated,total_pac_amount,has_pac,has_pac_donations
MAERSK INC.,1,0,False,0.0,True,False
"MAGELLAN HEALTH, INC.",1,0,False,0.0,True,False
"MAGELLAN MIDSTREAM HOLDINGS GP, LLC",1,0,False,0.0,True,False
MANAGMENT & TRAINING CORPORATION,1,0,False,0.0,True,False
MANTECH INTERNATIONAL CORPORATION,1,0,False,0.0,True,False
MARATHON OIL COMPANY,1,0,False,0.0,True,False
MARATHON PETROLEUM CORPORATION,1,1,True,63801.4,True,True
"MARRIOTT INTERNATIONAL, INC.",1,1,True,277824.55,True,True
"MARSH & MCLENNAN COMPANIES, INC.",1,1,True,53479.15,True,True
MASIMO CORPORATION,1,0,False,0.0,True,False
MASTERCARD INTERNATIONAL INC.,1,0,False,0.0,True,False
MATERION CORPORATION,1,0,False,0.0,True,False
"MATSON, INC. FEDERAL ELECTION COMMITTEE",1,1,True,5900.0,True,True
MATTEL INC.,1,1,True,37500.0,True,True
MAXAR TECHNOLOGIES INC.,1,0,False,0.0,True,False
"MAXIM HEALTHCARE SERVICES, INC.",1,0,False,0.0,True,False
"MAXIMUS, INC.",1,1,True,91094.62,True,True
MAYNARD COOPER & GALE,1,0,False,0.0,True,False
MCDONALD HOPKINS LLC,1,0,False,0.0,True,False
MCDONALDS CORPORATION,1,1,True,2296152.25,True,True
MCGLINCHEY STAFFORD MINTZ CELLINI LANG,1,0,False,0.0,True,False
MCKESSON CORPORATION,1,1,True,227650.0,True,True
"MCLANE COMPANY, INC",1,0,False,0.0,True,False
